date,vim_avg
2002-07-01,53.0848
2002-07-11,53.6499
2002-07-21,54.0526
2002-08-01,54.3328
2002-08-11,54.5303
2002-08-21,54.6797
2002-09-01,54.7493
2002-09-11,54.6999
2002-09-21,54.4727
2002-10-01,53.9807
2002-10-11,53.1228
2002-10-21,51.7308
2002-11-01,49.8182
2002-11-11,47.5535
2002-11-21,44.9718
2002-12-01,42.2013
2002-12-11,39.4037
2002-12-21,36.6764
2003-01-01,34.0765
2003-01-11,32.2442
2003-01-21,31.2959
2003-02-01,30.9614
2003-02-11,31.2295
2003-02-21,31.9209
2003-03-01,32.9994
2003-03-11,34.5182
2003-03-21,36.4013
2003-04-01,38.4721
2003-04-11,40.5307
2003-04-21,42.5978
2003-05-01,44.6198
2003-05-11,46.5371
2003-05-21,48.3723
2003-06-01,49.9706
2003-06-11,51.2401
2003-06-21,52.2645
2003-07-01,53.0848
2003-07-11,53.6499
2003-07-21,54.0526
2003-08-01,54.3328
2003-08-11,54.5303
2003-08-21,54.6797
2003-09-01,54.7493
2003-09-11,54.6999
2003-09-21,54.4727
2003-10-01,53.9807
2003-10-11,53.1228
2003-10-21,51.7308
2003-11-01,49.8182
2003-11-11,47.5535
2003-11-21,44.9718
2003-12-01,42.2013
2003-12-11,39.4037
2003-12-21,36.6764
2004-01-01,34.0765
2004-01-11,32.2442
2004-01-21,31.2959
2004-02-01,30.9614
2004-02-11,31.2295
2004-02-21,31.9209
2004-03-01,32.9994
2004-03-11,34.5182
2004-03-21,36.4013
2004-04-01,38.4721
2004-04-11,40.5307
2004-04-21,42.5978
2004-05-01,44.6198
2004-05-11,46.5371
2004-05-21,48.3723
2004-06-01,49.9706
2004-06-11,51.2401
2004-06-21,52.2645
2004-07-01,53.0848
2004-07-11,53.6499
2004-07-21,54.0526
2004-08-01,54.3328
2004-08-11,54.5303
2004-08-21,54.6797
2004-09-01,54.7493
2004-09-11,54.6999
2004-09-21,54.4727
2004-10-01,53.9807
2004-10-11,53.1228
2004-10-21,51.7308
2004-11-01,49.8182
2004-11-11,47.5535
2004-11-21,44.9718
2004-12-01,42.2013
2004-12-11,39.4037
2004-12-21,36.6764
2005-01-01,34.0765
2005-01-11,32.2442
2005-01-21,31.2959
2005-02-01,30.9614
2005-02-11,31.2295
2005-02-21,31.9209
2005-03-01,32.9994
2005-03-11,34.5182
2005-03-21,36.4013
2005-04-01,38.4721
2005-04-11,40.5307
2005-04-21,42.5978
2005-05-01,44.6198
2005-05-11,46.5371
2005-05-21,48.3723
2005-06-01,49.9706
2005-06-11,51.2401
2005-06-21,52.2645
2005-07-01,53.0848
2005-07-11,53.6499
2005-07-21,54.0526
2005-08-01,54.3328
2005-08-11,54.5303
2005-08-21,54.6797
2005-09-01,54.7493
2005-09-11,54.6999
2005-09-21,54.4727
2005-10-01,53.9807
2005-10-11,53.1228
2005-10-21,51.7308
2005-11-01,49.8182
2005-11-11,47.5535
2005-11-21,44.9718
2005-12-01,42.2013
2005-12-11,39.4037
2005-12-21,36.6764
2006-01-01,34.0765
2006-01-11,32.2442
2006-01-21,31.2959
2006-02-01,30.9614
2006-02-11,31.2295
2006-02-21,31.9209
2006-03-01,32.9994
2006-03-11,34.5182
2006-03-21,36.4013
2006-04-01,38.4721
2006-04-11,40.5307
2006-04-21,42.5978
2006-05-01,44.6198
2006-05-11,46.5371
2006-05-21,48.3723
2006-06-01,49.9706
2006-06-11,51.2401
2006-06-21,52.2645
2006-07-01,53.0848
2006-07-11,53.6499
2006-07-21,54.0526
2006-08-01,54.3328
2006-08-11,54.5303
2006-08-21,54.6797
2006-09-01,54.7493
2006-09-11,54.6999
2006-09-21,54.4727
2006-10-01,53.9807
2006-10-11,53.1228
2006-10-21,51.7308
2006-11-01,49.8182
2006-11-11,47.5535
2006-11-21,44.9718
2006-12-01,42.2013
2006-12-11,39.4037
2006-12-21,36.6764
2007-01-01,34.0765
2007-01-11,32.2442
2007-01-21,31.2959
2007-02-01,30.9614
2007-02-11,31.2295
2007-02-21,31.9209
2007-03-01,32.9994
2007-03-11,34.5182
2007-03-21,36.4013
2007-04-01,38.4721
2007-04-11,40.5307
2007-04-21,42.5978
2007-05-01,44.6198
2007-05-11,46.5371
2007-05-21,48.3723
2007-06-01,49.9706
2007-06-11,51.2401
2007-06-21,52.2645
2007-07-01,53.0848
2007-07-11,53.6499
2007-07-21,54.0526
2007-08-01,54.3328
2007-08-11,54.5303
2007-08-21,54.6797
2007-09-01,54.7493
2007-09-11,54.6999
2007-09-21,54.4727
2007-10-01,53.9807
2007-10-11,53.1228
2007-10-21,51.7308
2007-11-01,49.8182
2007-11-11,47.5535
2007-11-21,44.9718
2007-12-01,42.2013
2007-12-11,39.4037
2007-12-21,36.6764
2008-01-01,34.0765
2008-01-11,32.2442
2008-01-21,31.2959
2008-02-01,30.9614
2008-02-11,31.2295
2008-02-21,31.9209
2008-03-01,32.9994
2008-03-11,34.5182
2008-03-21,36.4013
2008-04-01,38.4721
2008-04-11,40.5307
2008-04-21,42.5978
2008-05-01,44.6198
2008-05-11,46.5371
2008-05-21,48.3723
2008-06-01,49.9706
2008-06-11,51.2401
2008-06-21,52.2645
2008-07-01,53.0848
2008-07-11,53.6499
2008-07-21,54.0526
2008-08-01,54.3328
2008-08-11,54.5303
2008-08-21,54.6797
2008-09-01,54.7493
2008-09-11,54.6999
2008-09-21,54.4727
2008-10-01,53.9807
2008-10-11,53.1228
2008-10-21,51.7308
2008-11-01,49.8182
2008-11-11,47.5535
2008-11-21,44.9718
2008-12-01,42.2013
2008-12-11,39.4037
2008-12-21,36.6764
2009-01-01,34.0765
2009-01-11,32.2442
2009-01-21,31.2959
2009-02-01,30.9614
2009-02-11,31.2295
2009-02-21,31.9209
2009-03-01,32.9994
2009-03-11,34.5182
2009-03-21,36.4013
2009-04-01,38.4721
2009-04-11,40.5307
2009-04-21,42.5978
2009-05-01,44.6198
2009-05-11,46.5371
2009-05-21,48.3723
2009-06-01,49.9706
2009-06-11,51.2401
2009-06-21,52.2645
2009-07-01,53.0848
2009-07-11,53.6499
2009-07-21,54.0526
2009-08-01,54.3328
2009-08-11,54.5303
2009-08-21,54.6797
2009-09-01,54.7493
2009-09-11,54.6999
2009-09-21,54.4727
2009-10-01,53.9807
2009-10-11,53.1228
2009-10-21,51.7308
2009-11-01,49.8182
2009-11-11,47.5535
2009-11-21,44.9718
2009-12-01,42.2013
2009-12-11,39.4037
2009-12-21,36.6764
2010-01-01,34.0765
2010-01-11,32.2442
2010-01-21,31.2959
2010-02-01,30.9614
2010-02-11,31.2295
2010-02-21,31.9209
2010-03-01,32.9994
2010-03-11,34.5182
2010-03-21,36.4013
2010-04-01,38.4721
2010-04-11,40.5307
2010-04-21,42.5978
2010-05-01,44.6198
2010-05-11,46.5371
2010-05-21,48.3723
2010-06-01,49.9706
2010-06-11,51.2401
2010-06-21,52.2645
2010-07-01,53.0848
2010-07-11,53.6499
2010-07-21,54.0526
2010-08-01,54.3328
2010-08-11,54.5303
2010-08-21,54.6797
2010-09-01,54.7493
2010-09-11,54.6999
2010-09-21,54.4727
2010-10-01,53.9807
2010-10-11,53.1228
2010-10-21,51.7308
2010-11-01,49.8182
2010-11-11,47.5535
2010-11-21,44.9718
2010-12-01,42.2013
2010-12-11,39.4037
2010-12-21,36.6764
2011-01-01,34.0765
2011-01-11,32.2442
2011-01-21,31.2959
2011-02-01,30.9614
2011-02-11,31.2295
2011-02-21,31.9209
2011-03-01,32.9994
2011-03-11,34.5182
2011-03-21,36.4013
2011-04-01,38.4721
2011-04-11,40.5307
2011-04-21,42.5978
2011-05-01,44.6198
2011-05-11,46.5371
2011-05-21,48.3723
2011-06-01,49.9706
2011-06-11,51.2401
2011-06-21,52.2645
2011-07-01,53.0848
2011-07-11,53.6499
2011-07-21,54.0526
2011-08-01,54.3328
2011-08-11,54.5303
2011-08-21,54.6797
2011-09-01,54.7493
2011-09-11,54.6999
2011-09-21,54.4727
2011-10-01,53.9807
2011-10-11,53.1228
2011-10-21,51.7308
2011-11-01,49.8182
2011-11-11,47.5535
2011-11-21,44.9718
2011-12-01,42.2013
2011-12-11,39.4037
2011-12-21,36.6764
2012-01-01,34.0765
2012-01-11,32.2442
2012-01-21,31.2959
2012-02-01,30.9614
2012-02-11,31.2295
2012-02-21,31.9209
2012-03-01,32.9994
2012-03-11,34.5182
2012-03-21,36.4013
2012-04-01,38.4721
2012-04-11,40.5307
2012-04-21,42.5978
2012-05-01,44.6198
2012-05-11,46.5371
2012-05-21,48.3723
2012-06-01,49.9706
2012-06-11,51.2401
2012-06-21,52.2645
2012-07-01,53.0848
2012-07-11,53.6499
2012-07-21,54.0526
2012-08-01,54.3328
2012-08-11,54.5303
2012-08-21,54.6797
2012-09-01,54.7493
2012-09-11,54.6999
2012-09-21,54.4727
2012-10-01,53.9807
2012-10-11,53.1228
2012-10-21,51.7308
2012-11-01,49.8182
2012-11-11,47.5535
2012-11-21,44.9718
2012-12-01,42.2013
2012-12-11,39.4037
2012-12-21,36.6764
2013-01-01,34.0765
2013-01-11,32.2442
2013-01-21,31.2959
2013-02-01,30.9614
2013-02-11,31.2295
2013-02-21,31.9209
2013-03-01,32.9994
2013-03-11,34.5182
2013-03-21,36.4013
2013-04-01,38.4721
2013-04-11,40.5307
2013-04-21,42.5978
2013-05-01,44.6198
2013-05-11,46.5371
2013-05-21,48.3723
2013-06-01,49.9706
2013-06-11,51.2401
2013-06-21,52.2645
2013-07-01,53.0848
2013-07-11,53.6499
2013-07-21,54.0526
2013-08-01,54.3328
2013-08-11,54.5303
2013-08-21,54.6797
2013-09-01,54.7493
2013-09-11,54.6999
2013-09-21,54.4727
2013-10-01,53.9807
2013-10-11,53.1228
2013-10-21,51.7308
2013-11-01,49.8182
2013-11-11,47.5535
2013-11-21,44.9718
2013-12-01,42.2013
2013-12-11,39.4037
2013-12-21,36.6764
2014-01-01,34.0765
2014-01-11,32.2442
2014-01-21,31.2959
2014-02-01,30.9614
2014-02-11,31.2295
2014-02-21,31.9209
2014-03-01,32.9994
2014-03-11,34.5182
2014-03-21,36.4013
2014-04-01,38.4721
2014-04-11,40.5307
2014-04-21,42.5978
2014-05-01,44.6198
2014-05-11,46.5371
2014-05-21,48.3723
2014-06-01,49.9706
2014-06-11,51.2401
2014-06-21,52.2645
2014-07-01,53.0848
2014-07-11,53.6499
2014-07-21,54.0526
2014-08-01,54.3328
2014-08-11,54.5303
2014-08-21,54.6797
2014-09-01,54.7493
2014-09-11,54.6999
2014-09-21,54.4727
2014-10-01,53.9807
2014-10-11,53.1228
2014-10-21,51.7308
2014-11-01,49.8182
2014-11-11,47.5535
2014-11-21,44.9718
2014-12-01,42.2013
2014-12-11,39.4037
2014-12-21,36.6764
2015-01-01,34.0765
2015-01-11,32.2442
2015-01-21,31.2959
2015-02-01,30.9614
2015-02-11,31.2295
2015-02-21,31.9209
2015-03-01,32.9994
2015-03-11,34.5182
2015-03-21,36.4013
2015-04-01,38.4721
2015-04-11,40.5307
2015-04-21,42.5978
2015-05-01,44.6198
2015-05-11,46.5371
2015-05-21,48.3723
2015-06-01,49.9706
2015-06-11,51.2401
2015-06-21,52.2645
2015-07-01,53.0848
2015-07-11,53.6499
2015-07-21,54.0526
2015-08-01,54.3328
2015-08-11,54.5303
2015-08-21,54.6797
2015-09-01,54.7493
2015-09-11,54.6999
2015-09-21,54.4727
2015-10-01,53.9807
2015-10-11,53.1228
2015-10-21,51.7308
2015-11-01,49.8182
2015-11-11,47.5535
2015-11-21,44.9718
2015-12-01,42.2013
2015-12-11,39.4037
2015-12-21,36.6764
2016-01-01,34.0765
2016-01-11,32.2442
2016-01-21,31.2959
2016-02-01,30.9614
2016-02-11,31.2295
2016-02-21,31.9209
2016-03-01,32.9994
2016-03-11,34.5182
2016-03-21,36.4013
2016-04-01,38.4721
2016-04-11,40.5307
2016-04-21,42.5978
2016-05-01,44.6198
2016-05-11,46.5371
2016-05-21,48.3723
2016-06-01,49.9706
2016-06-11,51.2401
2016-06-21,52.2645
2016-07-01,53.0848
2016-07-11,53.6499
2016-07-21,54.0526
2016-08-01,54.3328
2016-08-11,54.5303
2016-08-21,54.6797
2016-09-01,54.7493
2016-09-11,54.6999
2016-09-21,54.4727
2016-10-01,53.9807
2016-10-11,53.1228
2016-10-21,51.7308
2016-11-01,49.8182
2016-11-11,47.5535
2016-11-21,44.9718
2016-12-01,42.2013
2016-12-11,39.4037
2016-12-21,36.6764
2017-01-01,34.0765
2017-01-11,32.2442
2017-01-21,31.2959
2017-02-01,30.9614
2017-02-11,31.2295
2017-02-21,31.9209
2017-03-01,32.9994
2017-03-11,34.5182
2017-03-21,36.4013
2017-04-01,38.4721
2017-04-11,40.5307
2017-04-21,42.5978
2017-05-01,45.3171
2017-05-11,47.2587
2017-05-21,49.1126
2017-06-01,50.7229
2017-06-11,51.9983
2017-06-21,53.0247
2017-07-01,53.8446
2017-07-11,54.4081
2017-07-21,54.8092
2017-08-01,55.0889
2017-08-11,55.2875
2017-08-21,55.4393
2017-09-01,55.5117
2017-09-11,55.4647
2017-09-21,55.2393
2017-10-01,54.7481
2017-10-11,53.8888
2017-10-21,52.4917
2017-11-01,50.5687
2017-11-11,48.2879
2017-11-21,45.6838
2017-12-01,42.8846
2017-12-11,40.0528
2017-12-21,37.2871
2018-01-01,34.6449
2018-01-11,32.778
2018-01-21,31.8069
2018-02-01,31.4587
2018-02-11,31.7238
2018-02-21,32.421
2018-03-01,33.5133
2018-03-11,35.0546
2018-03-21,36.9679
2018-04-01,39.0731
2018-04-11,41.1657
2018-04-21,43.2655
2018-05-01,45.3171
2018-05-11,47.2587
2018-05-21,49.1126
2018-06-01,50.7229
2018-06-11,51.9983
2018-06-21,53.0247
2018-07-01,53.8446
2018-07-11,54.4081
2018-07-21,54.8092
2018-08-01,55.0889
2018-08-11,55.2875
2018-08-21,55.4393
2018-09-01,55.5117
2018-09-11,55.4647
2018-09-21,55.2393
2018-10-01,54.7481
2018-10-11,53.8888
2018-10-21,52.4917
2018-11-01,50.5687
2018-11-11,48.2879
2018-11-21,45.6838
2018-12-01,42.8846
2018-12-11,40.0528
2018-12-21,37.2871
2019-01-01,34.6449
2019-01-11,32.778
2019-01-21,31.8069
2019-02-01,31.4587
2019-02-11,31.7238
2019-02-21,32.421
2019-03-01,33.5133
2019-03-11,35.0546
2019-03-21,36.9679
2019-04-01,39.0731
2019-04-11,41.1657
2019-04-21,43.2655
2019-05-01,45.3171
2019-05-11,47.2587
2019-05-21,49.1126
2019-06-01,50.7229
2019-06-11,51.9983
2019-06-21,53.0247
2019-07-01,53.8446
2019-07-11,54.4081
2019-07-21,54.8092
2019-08-01,55.0889
2019-08-11,55.2875
2019-08-21,55.4393
2019-09-01,55.5117
2019-09-11,55.4647
2019-09-21,55.2393
2019-10-01,54.7481
2019-10-11,53.8888
2019-10-21,52.4917
2019-11-01,50.5687
2019-11-11,48.2879
2019-11-21,45.6838
2019-12-01,42.8846
2019-12-11,40.0528
2019-12-21,37.2871
2020-01-01,34.6449
2020-01-11,32.778
2020-01-21,31.8069
2020-02-01,31.4587
2020-02-11,31.7238
2020-02-21,32.421
2020-03-01,33.5133
2020-03-11,35.0546
2020-03-21,36.9679
2020-04-01,39.0731
2020-04-11,41.1657
2020-04-21,43.2655
2020-05-01,45.3171
2020-05-11,47.2587
2020-05-21,49.1126
2020-06-01,50.7229
2020-06-11,51.9983
2020-06-21,53.0247
2020-07-01,53.8446
2020-07-11,54.4081
2020-07-21,54.8092
2020-08-01,55.0889
2020-08-11,55.2875
2020-08-21,55.4393
2020-09-01,55.5117
2020-09-11,55.4647
2020-09-21,55.2393
2020-10-01,54.7481
2020-10-11,53.8888
2020-10-21,52.4917
2020-11-01,50.5687
2020-11-11,48.2879
2020-11-21,45.6838
2020-12-01,42.8846
2020-12-11,40.0528
2020-12-21,37.2871
2021-01-01,34.6449
2021-01-11,32.778
2021-01-21,31.8069
2021-02-01,31.4587
2021-02-11,31.7238
2021-02-21,32.421
2021-03-01,33.5133
2021-03-11,35.0546
2021-03-21,36.9679
2021-04-01,39.0731
2021-04-11,41.1657
2021-04-21,43.2655
2021-05-01,45.3171
2021-05-11,47.2587
2021-05-21,49.1126
2021-06-01,50.7229
2021-06-11,51.9983
2021-06-21,53.0247
2021-07-01,53.8446
2021-07-11,54.4081
2021-07-21,54.8092
2021-08-01,55.0889
2021-08-11,55.2875
2021-08-21,55.4393
2021-09-01,55.5117
2021-09-11,55.4647
2021-09-21,55.2393
2021-10-01,54.7481
2021-10-11,53.8888
2021-10-21,52.4917
2021-11-01,50.5687
2021-11-11,48.2879
2021-11-21,45.6838
2021-12-01,42.8846
2021-12-11,40.0528
2021-12-21,37.2871
2022-01-01,34.6449
2022-01-11,32.778
2022-01-21,31.8069
2022-02-01,31.4587
2022-02-11,31.7238
2022-02-21,32.421
2022-03-01,33.5133
2022-03-11,35.0546
2022-03-21,36.9679
2022-04-01,39.0731
2022-04-11,41.1657
2022-04-21,43.2655
2022-05-01,45.3171
2022-05-11,47.2587
2022-05-21,49.1126
2022-06-01,50.7229
2022-06-11,51.9983
2022-06-21,53.0247
2022-07-01,53.8446
2022-07-11,54.4081
2022-07-21,54.8092
2022-08-01,55.0889
2022-08-11,55.2875
2022-08-21,55.4393
2022-09-01,55.5117
2022-09-11,55.4647
2022-09-21,55.2393
2022-10-01,54.7481
2022-10-11,53.8888
2022-10-21,52.4917
2022-11-01,50.5687
2022-11-11,48.2879
2022-11-21,45.6838
2022-12-01,42.8846
2022-12-11,40.0528
2022-12-21,37.2871
2023-01-01,34.6449
2023-01-11,32.778
2023-01-21,31.8069
2023-02-01,31.4587
2023-02-11,31.7238
2023-02-21,32.421
2023-03-01,33.5133
2023-03-11,35.0546
2023-03-21,36.9679
2023-04-01,39.0731
2023-04-11,41.1657
2023-04-21,43.2655
2023-05-01,45.3171
2023-05-11,47.2587
2023-05-21,49.1126
2023-06-01,50.7229
2023-06-11,51.9983
2023-06-21,53.0247
